,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
93,97.27,97.25,97.09,94.7,93.89,91.68,90.57,0.0
94,97.46,97.31,97.12,95.03,94.2,91.83,90.8,0.0
95,97.73,97.59,97.41,95.38,94.56,92.0,91.08,0.0
96,97.54,97.69,97.43,95.67,94.85,92.12,91.35,0.0
97,97.54,97.54,97.57,95.98,95.12,92.26,91.62,0.0
98,97.53,97.57,97.69,96.31,95.41,92.41,91.84,0.0
99,97.59,97.58,97.6,96.59,95.69,92.58,92.04,0.0
100,97.59,97.61,97.62,96.78,95.95,92.74,92.23,0.0
101,97.72,97.66,97.65,96.99,96.25,93.0,92.42,0.0
102,97.86,97.71,97.67,97.11,96.52,93.23,92.58,0.0
103,97.94,97.91,97.71,97.23,96.78,93.46,92.72,0.0
104,98.01,98.08,97.9,97.36,96.99,93.7,92.87,0.0
105,98.19,98.11,98.12,97.46,97.2,93.92,93.01,0.0
106,98.45,98.36,98.31,97.59,97.38,94.15,93.16,0.0
107,98.74,98.65,98.45,97.8,97.56,94.39,93.33,0.0
108,99.09,98.98,98.76,97.95,97.73,94.64,93.51,0.0
109,99.72,99.52,99.25,98.26,97.96,94.92,93.74,0.0
110,99.87,99.71,99.4,98.36,98.06,95.18,93.9,0.0
111,99.78,99.56,99.31,98.4,98.13,95.38,94.1,0.0
112,99.43,99.32,99.09,98.35,98.06,95.56,94.25,0.0
113,99.27,99.28,99.06,98.31,98.15,95.77,94.43,0.0
114,99.22,99.2,99.14,98.35,98.2,95.98,94.62,0.0
115,99.08,99.16,99.16,98.37,98.29,96.19,94.79,0.0
116,98.96,99.11,99.17,98.45,98.39,96.4,94.98,0.0
117,98.88,99.1,99.28,98.55,98.43,96.62,95.17,0.0
118,98.49,98.98,99.28,98.66,98.51,96.84,95.36,0.0
119,98.49,98.6,99.21,98.78,98.57,97.04,95.54,0.0
120,98.77,98.58,99.07,98.85,98.63,97.23,95.75,88.58
121,99.1,98.71,98.63,98.83,98.64,97.4,95.93,88.8
122,99.18,99.05,98.54,98.87,98.69,97.59,96.14,89.04
123,98.99,98.95,98.55,98.85,98.71,97.71,96.3,89.25
124,98.74,98.73,98.65,98.79,98.67,97.78,96.44,89.46
125,98.55,98.64,98.63,98.78,98.63,97.88,96.6,89.66
126,98.46,98.65,98.71,98.85,98.71,97.98,96.78,89.87
127,98.49,98.63,98.84,98.92,98.8,98.08,96.96,90.07
128,98.64,98.73,98.97,99.05,98.9,98.18,97.15,90.26
129,98.84,98.9,99.04,99.16,99.01,98.28,97.35,90.46
130,99.05,98.96,99.05,99.19,99.08,98.34,97.52,90.64
131,99.55,99.46,99.34,99.35,99.24,98.51,97.74,90.86
132,100.08,99.76,99.53,99.41,99.38,98.6,97.95,91.05
133,100.91,100.46,100.01,99.54,99.56,98.77,98.17,91.25
134,101.63,101.24,100.47,99.66,99.72,98.91,98.36,91.47
135,102.33,102.05,101.21,99.75,99.95,99.11,98.57,91.74
136,102.91,102.64,101.96,99.97,100.13,99.29,98.76,91.99
137,103.4,103.16,102.61,100.3,100.3,99.42,98.93,92.25
138,103.83,103.57,103.07,100.69,100.43,99.57,99.08,92.49
139,104.42,103.98,103.5,100.97,100.49,99.72,99.23,92.73
140,104.82,104.65,103.98,101.28,100.73,99.9,99.4,92.99
141,105.25,104.88,104.33,101.55,101.02,100.05,99.57,93.22
142,105.44,105.28,104.8,101.79,101.37,100.22,99.71,93.46
143,105.51,105.38,104.94,101.96,101.6,100.39,99.87,93.71
144,105.63,105.64,105.37,102.22,101.87,100.58,100.03,93.98
145,105.71,105.68,105.56,102.47,102.12,100.73,100.2,94.23
146,105.62,105.6,105.6,102.68,102.29,100.87,100.34,94.45
147,105.73,105.66,105.62,102.98,102.48,101.04,100.46,94.68
148,105.32,105.32,105.31,103.1,102.54,101.12,100.53,94.87
149,104.8,104.99,105.02,103.29,102.62,101.2,100.59,95.04
150,104.42,104.53,104.78,103.51,102.71,101.28,100.67,95.22
151,104.38,104.51,104.77,103.8,102.95,101.42,100.8,95.43
152,104.63,104.65,104.8,104.09,103.23,101.61,100.96,95.64
153,104.82,105.01,105.05,104.41,103.62,101.82,101.16,95.87
154,105.28,105.37,105.44,104.77,104.08,102.04,101.38,96.09
155,106.16,106.01,106.08,105.21,104.58,102.31,101.61,96.35
156,106.88,106.79,106.56,105.69,105.01,102.56,101.86,96.6
157,107.83,107.21,106.9,105.96,105.34,102.75,102.07,96.85
158,108.65,107.99,107.3,106.26,105.63,102.92,102.26,97.05
159,109.47,108.73,107.58,106.47,105.9,103.04,102.45,97.24
160,110.01,109.54,108.29,106.71,106.24,103.25,102.66,97.44
161,110.37,110.04,108.98,106.88,106.48,103.52,102.86,97.64
162,110.53,110.32,109.62,107.05,106.75,103.81,103.06,97.82
163,110.04,110.07,109.68,107.07,106.82,103.97,103.19,97.96
164,109.61,109.9,109.82,107.21,106.97,104.18,103.35,98.11
165,109.43,109.74,110.02,107.42,107.14,104.42,103.54,98.28
166,109.65,109.71,110.18,107.64,107.37,104.68,103.75,98.45
167,110.24,110.16,110.35,107.99,107.68,104.96,103.99,98.66
168,110.78,110.65,110.51,108.33,107.99,105.25,104.21,98.86
169,111.22,111.11,110.83,108.68,108.28,105.54,104.39,99.06
170,111.96,111.79,111.46,109.07,108.62,105.89,104.67,99.29
171,112.57,112.3,111.95,109.42,108.95,106.24,104.98,99.54
172,113.53,112.77,112.32,109.81,109.25,106.56,105.31,99.78
173,114.07,113.53,112.59,110.1,109.54,106.89,105.57,100.0
174,114.54,114.18,113.03,110.62,109.82,107.27,105.84,100.23
175,114.79,114.53,113.74,111.09,110.09,107.6,106.11,100.45
176,115.05,115.01,114.43,111.67,110.5,107.95,106.4,100.69
177,115.27,115.18,114.89,112.09,110.85,108.27,106.67,100.92
178,115.8,115.63,115.44,112.55,111.42,108.63,106.98,101.17
179,115.97,116.07,115.76,112.93,111.97,108.98,107.3,101.42
180,116.13,116.05,115.96,113.18,112.46,109.31,107.59,101.67
181,116.44,116.25,116.23,113.36,112.86,109.6,107.91,101.92
182,116.85,116.52,116.26,113.55,113.2,109.91,108.22,102.18
183,117.27,117.06,116.56,113.88,113.55,110.21,108.58,102.44
184,117.82,117.47,116.96,114.26,113.85,110.51,108.97,102.7
185,117.9,117.81,117.31,114.59,114.03,110.75,109.3,102.95
186,118.01,117.85,117.49,114.86,114.19,110.99,109.6,103.19
