Date,Open,High,Low,Close,Adj Close,Volume
2021-03-31,125.94999694824219,128.47999572753906,125.94999694824219,127.13999938964844,126.78018951416016,1815500
2021-04-01,128.0,128.3000030517578,127.01000213623047,127.69000244140625,127.3286361694336,1126400
2021-04-05,129.0,130.61000061035156,129.0,130.0,129.829345703125,1096300
2021-04-06,130.57000732421875,131.86000061035156,129.8699951171875,131.0399932861328,130.86798095703125,1623200
2021-04-07,130.25,130.57000732421875,128.52999877929688,129.33999633789062,129.1702117919922,954600
2021-04-08,130.25999450683594,131.72999572753906,129.8699951171875,130.69000244140625,130.51844787597656,925100
2021-04-09,131.4600067138672,131.9199981689453,130.72999572753906,131.91000366210938,131.73684692382812,1552200
2021-04-12,131.44000244140625,132.17999267578125,130.83999633789062,131.27000427246094,131.09768676757812,1166300
2021-04-13,131.60000610351562,133.27000427246094,131.47000122070312,132.97000122070312,132.7954559326172,1593700
2021-04-14,133.10000610351562,133.22999572753906,130.9600067138672,131.97000122070312,131.79676818847656,1499300
2021-04-15,132.0,133.94000244140625,132.0,133.27999877929688,133.10504150390625,2121300
2021-04-16,134.0500030517578,134.63999938964844,133.16000366210938,134.5800018310547,134.40333557128906,4495400
2021-04-19,134.3800048828125,134.64999389648438,133.07000732421875,133.5,133.3247528076172,1071600
2021-04-20,133.0,133.5500030517578,131.82000732421875,132.4600067138672,132.2861328125,1261200
2021-04-21,132.8800048828125,133.9499969482422,132.02000427246094,133.8300018310547,133.65432739257812,1173900
2021-04-22,134.02999877929688,135.4600067138672,133.8300018310547,134.52999877929688,134.35340881347656,1732700
2021-04-23,134.57000732421875,137.1199951171875,134.5,136.67999267578125,136.50057983398438,1495200
2021-04-26,137.2100067138672,137.8300018310547,136.67999267578125,137.33999633789062,137.1597137451172,1287400
2021-04-27,136.92999267578125,137.44000244140625,136.22999572753906,136.47999572753906,136.30084228515625,1752900
2021-04-28,136.0,136.50999450683594,134.7100067138672,134.8000030517578,134.62306213378906,1603900
2021-04-29,135.41000366210938,135.41000366210938,133.5399932861328,134.14999389648438,133.97389221191406,2135900
2021-04-30,133.89999389648438,134.66000366210938,133.14999389648438,133.63999938964844,133.46456909179688,1514200
2021-05-03,134.2899932861328,134.30999755859375,132.61000061035156,133.19000244140625,133.01516723632812,1032000
2021-05-04,132.1199951171875,132.50999450683594,130.35000610351562,130.89999389648438,130.72816467285156,1752400
2021-05-05,132.08999633789062,134.08999633789062,131.25,133.3699951171875,133.19493103027344,1430600
2021-05-06,132.30999755859375,132.60000610351562,130.77000427246094,132.39999389648438,132.2261962890625,1150400
2021-05-07,133.19000244140625,134.82000732421875,133.19000244140625,133.89999389648438,133.72422790527344,1044200
2021-05-10,133.75999450683594,133.92999267578125,131.75999450683594,131.8699951171875,131.6968994140625,1034300
2021-05-11,130.27000427246094,131.83999633789062,129.3000030517578,131.4199981689453,131.2474822998047,1336600
2021-05-12,130.33999633789062,131.1699981689453,128.47000122070312,128.63999938964844,128.47113037109375,1256400
2021-05-13,129.61000061035156,130.75999450683594,129.25999450683594,130.02000427246094,129.84933471679688,805900
2021-05-14,130.47000122070312,131.69000244140625,130.4499969482422,131.14999389648438,130.97784423828125,775100
2021-05-17,130.83999633789062,131.0500030517578,129.91000366210938,130.11000061035156,129.939208984375,886700
2021-05-18,129.9499969482422,129.9499969482422,128.67999267578125,128.75,128.58099365234375,1777600
2021-05-19,127.5999984741211,130.27999877929688,127.12999725341797,130.2100067138672,130.03907775878906,1119400
2021-05-20,130.61000061035156,132.7899932861328,130.61000061035156,132.14999389648438,131.9765167236328,1035100
2021-05-21,132.6699981689453,134.1300048828125,132.22000122070312,132.3000030517578,132.1263427734375,1445900
2021-05-24,133.50999450683594,134.41000366210938,132.52999877929688,133.33999633789062,133.1649627685547,1312300
2021-05-25,133.41000366210938,134.8000030517578,133.00999450683594,133.22999572753906,133.05511474609375,1890600
2021-05-26,136.3000030517578,138.0,133.25,133.2899932861328,133.11502075195312,2498400
2021-05-27,133.32000732421875,138.13999938964844,133.16000366210938,137.5399932861328,137.3594512939453,3699600
2021-05-28,138.60000610351562,139.2100067138672,138.0,138.1300048828125,137.9486846923828,1264400
2021-06-01,139.1699981689453,140.32000732421875,135.57000732421875,137.1999969482422,137.0198974609375,2015800
2021-06-02,137.1199951171875,138.22000122070312,135.8800048828125,136.57000732421875,136.39073181152344,1395700
2021-06-03,136.0,136.91000366210938,135.74000549316406,136.3699951171875,136.19097900390625,1228700
2021-06-04,137.6999969482422,138.41000366210938,137.38999938964844,137.89999389648438,137.71897888183594,1069700
2021-06-07,138.08999633789062,138.5800018310547,137.3699951171875,137.64999389648438,137.46929931640625,936000
2021-06-08,138.60000610351562,138.9199981689453,137.57000732421875,138.75,138.56787109375,1143900
