,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
50,108.31,108.12,107.82,106.38,106.08,104.53,0.0,0.0,1.4399999999999977,1.0543569567649944,0.3856430432350033,1.07
51,108.32,108.17,107.9,106.53,106.23,104.68,0.0,0.0,1.3700000000000045,1.1174855654119966,0.25251443458800793,1.042
52,108.21,108.09,107.88,106.62,106.33,104.8,0.0,0.0,1.259999999999991,1.1459884523295956,0.11401154767039534,1.034
53,108.03,107.95,107.79,106.67,106.39,104.9,0.0,0.0,1.1200000000000045,1.1407907618636774,-0.020790761863672902,1.019
54,108.36,108.26,108.08,106.89,106.6,105.09,0.0,0.0,1.1899999999999977,1.1506326094909416,0.03936739050905613,1.008
55,108.3,108.22,108.07,106.98,106.69,105.21,0.0,0.0,1.0899999999999892,1.1385060875927513,-0.04850608759276209,1.002
56,108.31,108.25,108.11,107.08,106.8,105.33,0.0,0.0,1.0300000000000011,1.1168048700742013,-0.08680487007420012,1.001
57,107.83,107.83,107.77,106.99,106.74,105.35,0.0,0.0,0.7800000000000011,1.0494438960593613,-0.26944389605936014,0.998
58,108.16,108.13,108.03,107.17,106.92,105.51,0.0,0.0,0.8599999999999994,1.011555116847489,-0.15155511684748957,1.01
59,108.09,108.07,107.99,107.22,106.98,105.6,0.0,0.0,0.769999999999996,0.9632440934779904,-0.19324409347799443,1.018
60,108.27,108.24,108.15,107.35,107.11,105.73,105.16,0.0,0.8000000000000114,0.9305952747823947,-0.1305952747823833,1.018
61,108.33,108.3,108.22,107.44,107.2,105.84,105.27,0.0,0.7800000000000011,0.9004762198259161,-0.12047621982591494,1.04
62,107.95,107.96,107.94,107.36,107.15,105.86,105.31,0.0,0.5799999999999983,0.8363809758607326,-0.2563809758607343,1.042
63,107.36,107.42,107.49,107.19,107.01,105.83,105.3,0.0,0.29999999999999716,0.7291047806885855,-0.42910478068858837,1.038
64,106.91,107.0,107.12,107.04,106.89,105.8,105.29,0.0,0.0799999999999983,0.5992838245508681,-0.5192838245508699,1.036
65,107.02,107.09,107.18,107.07,106.93,105.87,105.36,0.0,0.11000000000001364,0.5014270596406972,-0.3914270596406836,1.038
66,107.53,107.54,107.55,107.25,107.1,106.01,105.5,0.0,0.29999999999999716,0.4611416477125572,-0.16114164771256007,1.052
67,108.33,108.27,108.16,107.57,107.39,106.23,105.7,0.0,0.5900000000000034,0.48691331817004646,0.10308668182995695,1.024
68,109.37,109.23,108.99,108.01,107.79,106.52,105.96,0.0,0.9799999999999898,0.5855306545360351,0.3944693454639546,1.041
69,110.38,110.17,109.83,108.48,108.22,106.83,106.24,0.0,1.3499999999999943,0.7384245236288269,0.6115754763711674,1.039
70,110.18,110.03,109.76,108.55,108.3,106.93,106.34,0.0,1.210000000000008,0.8327396189030631,0.3772603810969448,1.047
