,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty,macd,signal,macdHisto,twentyeightDayVol
50,88.42,88.33,88.02,85.36,84.61,80.42,0.0,0.0,2.6599999999999966,3.0159766451883474,-0.3559766451883508,0.474
51,87.96,87.93,87.73,85.42,84.71,80.64,0.0,0.0,2.3100000000000023,2.8747813161506786,-0.5647813161506763,0.48
52,87.76,87.75,87.61,85.53,84.86,80.89,0.0,0.0,2.0799999999999983,2.7158250529205423,-0.635825052920544,0.48
53,87.7,87.69,87.58,85.67,85.03,81.15,0.0,0.0,1.9099999999999966,2.554660042336433,-0.6446600423364366,0.481
54,87.74,87.73,87.63,85.84,85.22,81.42,0.0,0.0,1.789999999999992,2.401728033869145,-0.6117280338691531,0.471
55,87.83,87.82,87.72,86.02,85.41,81.69,0.0,0.0,1.7000000000000028,2.2613824270953167,-0.5613824270953138,0.469
56,88.01,87.99,87.88,86.22,85.62,81.97,0.0,0.0,1.6599999999999966,2.1411059416762526,-0.481105941676256,0.463
57,88.11,88.09,87.98,86.39,85.81,82.23,0.0,0.0,1.5900000000000034,2.030884753341003,-0.4408847533409994,0.464
58,88.34,88.31,88.18,86.6,86.03,82.51,0.0,0.0,1.5800000000000125,1.9407078026728048,-0.36070780267279234,0.456
59,87.98,87.99,87.93,86.6,86.06,82.67,0.0,0.0,1.3300000000000125,1.8185662421382465,-0.48856624213823396,0.445
60,87.84,87.86,87.83,86.65,86.14,82.85,81.55,0.0,1.1799999999999926,1.6908529937105956,-0.510852993710603,0.442
61,87.45,87.5,87.53,86.59,86.12,82.97,81.69,0.0,0.9399999999999977,1.540682394968476,-0.6006823949684783,0.418
62,87.42,87.46,87.49,86.64,86.2,83.14,81.87,0.0,0.8499999999999943,1.4025459159747797,-0.5525459159747854,0.419
63,87.61,87.63,87.63,86.77,86.34,83.35,82.08,0.0,0.8599999999999994,1.2940367327798237,-0.43403673277982424,0.413
64,87.71,87.72,87.7,86.87,86.45,83.54,82.28,0.0,0.8299999999999983,1.2012293862238588,-0.3712293862238605,0.407
