,nine,ten,twelve,twentysix,thirty,fifty,sixty,onetwenty
93,107.46,107.47,107.4,109.74,109.35,108.88,108.23,0.0
94,107.32,107.41,107.35,109.57,109.42,108.85,108.24,0.0
95,107.13,107.27,107.38,109.31,109.47,108.85,108.24,0.0
96,107.06,107.17,107.36,109.04,109.47,108.83,108.26,0.0
97,107.04,107.08,107.29,108.96,109.4,108.85,108.3,0.0
98,107.13,107.21,107.31,108.88,109.3,108.88,108.4,0.0
99,107.33,107.32,107.38,108.74,109.15,108.88,108.54,0.0
100,107.48,107.41,107.43,108.59,108.94,108.85,108.62,0.0
101,107.69,107.56,107.46,108.43,108.9,108.8,108.68,0.0
102,107.8,107.67,107.48,108.19,108.79,108.78,108.72,0.0
103,107.94,107.85,107.61,108.01,108.65,108.79,108.71,0.0
104,108.06,107.93,107.74,107.93,108.51,108.8,108.7,0.0
105,108.15,108.08,107.89,107.83,108.37,108.77,108.73,0.0
106,108.28,108.18,108.0,107.73,108.19,108.78,108.72,0.0
107,108.35,108.4,108.23,107.74,108.07,108.8,108.78,0.0
108,108.37,108.43,108.37,107.8,108.05,108.87,108.8,0.0
109,108.63,108.58,108.63,107.96,108.03,108.89,108.83,0.0
110,108.85,108.79,108.75,108.06,108.01,108.94,108.84,0.0
111,109.28,109.1,108.94,108.18,108.08,108.98,108.85,0.0
112,109.64,109.51,109.24,108.3,108.21,109.04,108.9,0.0
113,109.98,109.76,109.45,108.4,108.36,109.13,108.95,0.0
114,110.04,109.87,109.57,108.45,108.4,109.21,108.98,0.0
115,110.45,110.25,109.88,108.61,108.53,109.35,109.02,0.0
116,110.51,110.41,110.07,108.72,108.58,109.4,109.05,0.0
117,110.75,110.59,110.32,108.9,108.69,109.43,109.1,0.0
118,110.99,110.93,110.66,109.14,108.86,109.46,109.21,0.0
119,111.28,111.18,110.95,109.38,109.02,109.44,109.27,0.0
120,111.47,111.45,111.27,109.61,109.22,109.41,109.35,107.2
121,111.6,111.6,111.46,109.84,109.42,109.48,109.42,107.3
122,112.03,111.91,111.84,110.12,109.7,109.56,109.52,107.42
123,112.69,112.3,112.12,110.41,109.97,109.6,109.66,107.54
124,112.93,112.85,112.35,110.62,110.21,109.65,109.81,107.64
125,114.08,113.67,113.14,111.06,110.67,109.8,110.07,107.8
126,115.44,115.03,114.37,111.65,111.21,110.0,110.34,107.98
127,116.55,116.15,115.24,112.2,111.71,110.19,110.55,108.17
128,117.37,116.92,116.09,112.69,112.09,110.4,110.7,108.35
129,118.17,117.65,116.83,113.15,112.47,110.59,110.81,108.51
130,118.94,118.33,117.43,113.61,112.86,110.76,110.9,108.67
131,119.97,119.45,118.36,114.21,113.38,111.06,111.14,108.87
132,121.06,120.43,119.32,114.83,113.95,111.4,111.37,109.06
133,122.27,121.47,120.34,115.43,114.51,111.77,111.58,109.27
134,122.81,122.57,121.23,116.06,115.09,112.12,111.8,109.47
135,123.17,123.21,122.23,116.69,115.71,112.5,112.04,109.68
136,123.8,123.68,123.4,117.38,116.37,112.89,112.28,109.9
137,124.67,124.23,124.03,118.02,116.99,113.29,112.53,110.12
138,125.45,124.93,124.34,118.62,117.59,113.68,112.82,110.33
139,126.08,125.44,124.58,119.18,118.09,114.03,113.06,110.51
140,125.97,125.78,124.81,119.73,118.52,114.35,113.27,110.61
141,125.75,125.63,125.0,120.13,118.89,114.67,113.49,110.71
142,125.27,125.26,125.09,120.54,119.2,114.96,113.71,110.8
143,124.95,124.98,124.95,120.97,119.58,115.27,113.97,110.93
144,124.36,124.61,124.71,121.32,120.01,115.56,114.21,111.03
145,123.42,123.9,124.26,121.58,120.26,115.82,114.4,111.15
146,122.78,123.3,124.01,121.94,120.67,116.12,114.63,111.3
147,122.25,122.75,123.65,122.31,121.04,116.42,114.87,111.47
148,121.56,121.95,122.89,122.48,121.26,116.63,115.06,111.58
149,120.78,121.01,121.89,122.53,121.37,116.77,115.2,111.68
150,120.19,120.43,121.06,122.64,121.51,116.95,115.36,111.78
151,119.62,119.73,120.25,122.46,121.6,117.1,115.51,111.87
152,118.99,119.32,119.72,122.2,121.67,117.29,115.68,111.95
153,118.35,118.67,119.16,121.94,121.71,117.44,115.84,112.04
154,118.1,118.27,118.89,121.83,121.82,117.63,116.01,112.13
155,117.49,117.96,118.41,121.7,121.69,117.8,116.18,112.21
156,117.0,117.55,118.12,121.64,121.51,117.99,116.36,112.31
157,116.89,117.12,117.99,121.41,121.37,118.17,116.54,112.42
158,117.07,116.96,117.61,121.15,121.28,118.34,116.69,112.55
159,117.17,117.17,117.24,120.88,121.21,118.49,116.84,112.69
160,117.68,117.47,117.33,120.68,121.23,118.69,117.04,112.83
161,118.21,118.06,117.79,120.48,121.14,118.89,117.26,112.97
162,118.72,118.44,118.06,120.18,121.01,119.07,117.48,113.1
163,118.78,118.65,118.26,119.8,120.77,119.22,117.64,113.17
164,119.04,118.8,118.45,119.48,120.56,119.42,117.83,113.26
165,119.48,119.34,118.97,119.35,120.4,119.62,118.06,113.39
166,119.92,119.75,119.36,119.32,120.2,119.86,118.29,113.51
167,120.16,119.91,119.62,119.21,119.93,120.03,118.46,113.62
168,120.35,120.13,119.76,119.18,119.68,120.18,118.64,113.72
169,120.21,120.21,119.82,119.04,119.46,120.3,118.78,113.81
170,120.03,120.17,120.01,118.98,119.36,120.44,118.94,113.89
171,119.97,120.02,120.16,118.98,119.27,120.58,119.08,113.96
172,120.2,119.98,120.15,118.9,119.25,120.69,119.22,114.06
173,120.28,120.16,120.01,118.8,119.16,120.79,119.37,114.16
174,120.15,120.35,120.04,118.86,119.14,120.92,119.57,114.28
175,120.02,120.24,120.3,119.06,119.18,120.93,119.72,114.37
176,120.38,120.32,120.63,119.28,119.21,120.92,119.94,114.5
177,120.57,120.5,120.58,119.51,119.17,120.9,120.11,114.6
178,121.12,120.91,120.72,119.78,119.33,120.97,120.3,114.75
179,121.62,121.45,121.1,120.11,119.61,121.06,120.49,114.88
180,122.13,121.91,121.49,120.38,119.85,121.15,120.68,115.02
181,122.12,121.92,121.58,120.51,120.0,121.07,120.8,115.11
182,122.43,122.17,121.81,120.68,120.2,121.03,120.93,115.23
183,122.72,122.54,122.11,120.88,120.45,121.0,121.08,115.37
184,122.97,122.78,122.37,121.1,120.64,120.96,121.23,115.52
185,122.92,122.93,122.61,121.27,120.84,120.88,121.27,115.67
186,122.95,122.8,122.67,121.33,120.96,120.75,121.23,115.79
187,122.67,122.8,122.71,121.33,121.07,120.61,121.22,115.88
188,122.3,122.5,122.54,121.35,121.18,120.49,121.23,115.96
189,121.8,122.08,122.42,121.43,121.24,120.38,121.23,116.02
190,121.75,121.58,122.05,121.45,121.22,120.31,121.22,116.06
191,121.19,121.33,121.49,121.27,121.09,120.21,121.11,116.13
192,120.63,120.92,120.98,121.13,121.02,120.17,121.01,116.19
193,120.13,120.45,120.88,121.09,121.05,120.09,120.91,116.24
194,119.73,120.01,120.58,121.06,121.05,120.04,120.8,116.3
195,119.42,119.65,120.2,121.06,120.94,120.03,120.67,116.36
196,119.08,119.32,119.79,121.0,120.81,119.95,120.51,116.39
197,118.56,118.81,119.27,120.86,120.7,119.83,120.31,116.42
198,118.27,118.45,118.92,120.76,120.62,119.79,120.15,116.49
199,118.14,118.28,118.65,120.7,120.6,119.84,120.03,116.55
200,118.05,118.0,118.3,120.54,120.5,119.83,119.93,116.6
201,117.88,117.94,118.04,120.39,120.4,119.85,119.83,116.66
202,117.61,117.73,117.78,120.13,120.27,119.85,119.76,116.73
203,117.48,117.63,117.8,119.99,120.21,119.89,119.68,116.83
204,117.28,117.45,117.68,119.73,120.08,119.88,119.61,116.91
205,117.16,117.28,117.56,119.46,119.95,119.89,119.57,116.98
206,117.39,117.28,117.51,119.22,119.8,119.9,119.5,117.07
207,117.31,117.32,117.33,119.09,119.64,119.87,119.41,117.14
208,117.02,117.15,117.11,118.83,119.37,119.83,119.35,117.21
209,117.01,116.98,117.13,118.57,119.11,119.8,119.36,117.28
210,115.76,115.89,116.16,117.89,118.49,119.51,119.17,117.27
211,114.71,114.88,115.21,117.29,118.05,119.22,119.02,117.27
212,113.76,114.16,114.58,116.81,117.6,118.99,118.9,117.29
213,112.88,113.31,113.94,116.34,117.13,118.82,118.79,117.31
214,112.07,112.6,113.41,115.92,116.69,118.64,118.66,117.34
215,110.91,111.66,112.58,115.45,116.2,118.35,118.52,117.35
216,110.05,110.72,111.91,115.05,115.77,118.09,118.37,117.36
217,109.44,110.06,111.31,114.76,115.4,117.9,118.23,117.39
218,108.69,109.48,110.61,114.43,115.03,117.7,118.1,117.39
219,109.21,108.87,110.08,114.11,114.71,117.53,117.98,117.41
220,109.6,109.33,109.64,113.78,114.4,117.34,117.81,117.43
221,109.69,109.65,109.1,113.44,114.15,117.14,117.62,117.44
222,109.95,109.89,109.58,113.18,113.93,116.97,117.47,117.48
223,109.99,109.99,109.87,112.95,113.64,116.78,117.35,117.49
224,110.38,110.14,110.05,112.72,113.39,116.59,117.22,117.52
225,110.6,110.44,110.19,112.44,113.13,116.39,117.03,117.55
226,110.67,110.62,110.26,112.21,112.88,116.15,116.84,117.57
227,110.87,110.78,110.58,112.01,112.72,115.95,116.71,117.58
228,111.12,111.06,110.89,111.86,112.56,115.73,116.59,117.61
229,111.71,111.58,111.35,111.78,112.48,115.56,116.54,117.66
230,112.5,112.26,111.96,111.79,112.49,115.41,116.49,117.72
231,112.98,112.85,112.41,111.73,112.46,115.33,116.43,117.75
232,113.74,113.4,112.97,111.69,112.48,115.22,116.38,117.8
233,114.47,114.17,113.64,111.74,112.49,115.11,116.35,117.86
234,115.35,114.91,114.24,111.86,112.55,115.02,116.31,117.94
235,116.35,115.8,115.03,111.98,112.63,114.97,116.29,118.01
236,117.19,116.64,115.68,112.5,112.66,114.92,116.23,118.08
237,117.97,117.45,116.42,112.99,112.76,114.88,116.2,118.16
238,118.32,118.05,117.08,113.36,112.87,114.84,116.12,118.21
239,118.48,118.35,117.66,113.72,112.93,114.81,116.02,118.26
240,118.61,118.35,118.03,114.0,113.31,114.76,115.9,118.29
241,118.56,118.42,118.11,114.33,113.64,114.75,115.84,118.32
242,118.5,118.45,118.14,114.66,113.91,114.73,115.76,118.35
243,118.5,118.53,118.37,114.99,114.23,114.73,115.68,118.38
244,118.37,118.52,118.5,115.33,114.52,114.72,115.6,118.42
245,118.34,118.43,118.58,115.66,114.89,114.72,115.54,118.4
246,118.17,118.33,118.54,115.96,115.2,114.72,115.49,118.36
247,118.39,118.44,118.61,116.37,115.55,114.81,115.48,118.35
248,118.49,118.51,118.63,116.68,115.87,114.85,115.45,118.34
249,118.78,118.62,118.64,117.04,116.18,114.88,115.45,118.34
250,119.21,118.96,118.78,117.39,116.52,114.96,115.46,118.34
251,119.61,119.4,118.99,117.78,116.89,115.04,115.52,118.32
252,119.85,119.75,119.3,118.17,117.2,115.13,115.56,118.29
253,120.1,119.96,119.66,118.52,117.55,115.19,115.6,118.25
254,120.45,120.3,120.04,118.89,117.91,115.29,115.65,118.23
255,120.81,120.56,120.27,119.11,118.26,115.38,115.69,118.18
256,120.97,120.95,120.56,119.3,118.64,115.45,115.76,118.13
257,121.27,121.09,120.83,119.54,118.99,115.56,115.86,118.08
258,121.64,121.45,121.24,119.78,119.34,115.71,115.95,118.05
259,121.88,121.74,121.4,119.95,119.57,115.83,116.02,118.03
